Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.43449061194127, 2.376672818506991;"{""coordinates"": [2.376672818506991, 48.43449061194127], ""type"": ""Point""}";106.0;Boutigny;Boutigny;;;59565.0;Boutigny;47895.0;Boutigny;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;653894.1827000007;6815094.288199998;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Boutigny
48.564949494749506, 2.594551816007613;"{""coordinates"": [2.594551816007613, 48.564949494749506], ""type"": ""Point""}";135.0;Cesson;Cesson;;;62176.0;Cesson;42516.0;Cesson;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;670084.3832999989;6829491.1237;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Cesson
48.51515145321966, 2.5993042659192627;"{""coordinates"": [2.599304265919263, 48.51515145321966], ""type"": ""Point""}";921.0;Vosves;Vosves;;;61850.0;Vosves;47967.0;Vosves;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;670406.9439999983;6823953.601399999;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Vosves
48.70661093477736, 2.48424255643507;"{""coordinates"": [2.48424255643507, 48.70661093477736], ""type"": ""Point""}";924.0;Yerres;Yerres;;;63044.0;Yerres;43226.0;Yerres;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;662048.2876000032;6845287.303800002;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Yerres
48.565072940114796, 2.5426094498060046;"{""coordinates"": [2.542609449806005, 48.565072940114796], ""type"": ""Point""}";819.0;Saint-Fargeau;Saint-Fargeau;;;62172.0;Saint-Fargeau;45814.0;Saint-Fargeau;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;666251.9840999991;6829525.7859000005;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Saint-Fargeau
48.62590139399501, 2.430155386011357;"{""coordinates"": [2.430155386011357, 48.62590139399501], ""type"": ""Point""}";277.0;Évry Courcouronnes;Évry Courcouronnes;Centre;;60450.0;Évry - Courcouronnes;47906.0;Évry - Courcouronnes;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;658003.6257999986;6836341.883900002;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Évry Courcouronnes
48.48551429890115, 2.352193814586844;"{""coordinates"": [2.352193814586844, 48.48551429890115], ""type"": ""Point""}";396.0;La Ferté-Alais;La Ferté-Alais;;;59661.0;La Ferté-Alais;43142.0;La Ferté-Alais;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;652130.1071000025;6820780.366099998;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;La Ferté-Alais
48.3713832913812, 2.387209797198101;"{""coordinates"": [2.387209797198101, 48.3713832913812], ""type"": ""Point""}";117.0;Buno-Gironville;Buno-Gironville;;;59447.0;Buno - Gironville;43102.0;Buno - Gironville;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;654619.122299999;6808073.8171;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Buno-Gironville
48.53877525570637, 2.6255221550663013;"{""coordinates"": [2.625522155066301, 48.53877525570637], ""type"": ""Point""}";430.0;Le Mée;Le Mée;;;62003.0;Le Mée;45784.0;Le Mée;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;672355.6840000004;6826570.182100002;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Le Mée
48.573807792637595, 2.479469169601778;"{""coordinates"": [2.479469169601778, 48.573807792637595], ""type"": ""Point""}";433.0;Le Plessis-Chenet;Le Plessis-Chenet;;;60006.0;Le Plessis Chenet;45820.0;Le Plessis Chenet;0.0;RER;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;A01842;C01728;RER D;D;RER D;SNCF;1.0;0.0;661599.7184000015;6830525.6466999985;https://data.opendatasoft.com/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf@stif/files/e7ed6bbd66f9796902fee75b4b443a54;Le Plessis-Chenet
